Experimento,Arq,Barra,Horizonte_h,MAE_modelo,MAE_persistencia24,MASE,skill
piloto_sin_outliers_h24,LN,ATACAMA,1,9.810251893020302,12.352031814895156,0.7942217151019839,0.20577828489801608
piloto_sin_outliers_h24,LN,ATACAMA,2,10.563130332264564,12.352031814895156,0.8551735042915467,0.1448264957084533
piloto_sin_outliers_h24,LN,ATACAMA,3,10.982469462966826,12.352031814895156,0.8891225045035269,0.11087749549647308
piloto_sin_outliers_h24,LN,ATACAMA,4,11.190445575819846,12.352031814895156,0.9059599055052167,0.09404009449478334
piloto_sin_outliers_h24,LN,ATACAMA,5,11.334178041617651,12.352031814895156,0.917596247440839,0.08240375255916099
piloto_sin_outliers_h24,LN,ATACAMA,6,11.458014010753251,12.352031814895156,0.9276218020209582,0.07237819797904177
piloto_sin_outliers_h24,LN,ATACAMA,7,11.519524055089281,12.352031814895156,0.9326015531467492,0.0673984468532508
piloto_sin_outliers_h24,LN,ATACAMA,8,11.574499204262793,12.352031814895156,0.9370522500035382,0.0629477499964618
piloto_sin_outliers_h24,LN,ATACAMA,9,11.608588210110723,12.352031814895156,0.9398120393530784,0.06018796064692156
piloto_sin_outliers_h24,LN,ATACAMA,10,11.654823526422442,12.352031814895156,0.9435551738433867,0.05644482615661328
piloto_sin_outliers_h24,LN,ATACAMA,11,11.69601196767164,12.352031814895156,0.9468897217029161,0.053110278297083924
piloto_sin_outliers_h24,LN,ATACAMA,12,11.733957712518706,12.352031814895156,0.949961746242337,0.05003825375766302
piloto_sin_outliers_h24,LN,ATACAMA,13,11.74835434158557,12.352031814895156,0.951127273443255,0.048872726556745016
piloto_sin_outliers_h24,LN,ATACAMA,14,11.74375671682774,12.352031814895156,0.9507550573717026,0.04924494262829737
piloto_sin_outliers_h24,LN,ATACAMA,15,11.769991315987404,12.352031814895156,0.9528789669885827,0.047121033011417346
piloto_sin_outliers_h24,LN,ATACAMA,16,11.793097682188838,12.352031814895156,0.9547496200558433,0.045250379944156705
piloto_sin_outliers_h24,LN,ATACAMA,17,11.76433981043369,12.352031814895156,0.9524214304765005,0.04757856952349948
piloto_sin_outliers_h24,LN,ATACAMA,18,11.781995623485816,12.352031814895156,0.9538508158048994,0.04614918419510061
piloto_sin_outliers_h24,LN,ATACAMA,19,11.842810106716493,12.352031814895156,0.958774255457746,0.04122574454225403
piloto_sin_outliers_h24,LN,ATACAMA,20,11.888798192581172,12.352031814895156,0.9624973745812915,0.037502625418708524
piloto_sin_outliers_h24,LN,ATACAMA,21,11.912614255892738,12.352031814895156,0.9644254835489874,0.03557451645101262
piloto_sin_outliers_h24,LN,ATACAMA,22,11.991056011509798,12.352031814895156,0.9707759979252918,0.02922400207470821
piloto_sin_outliers_h24,LN,ATACAMA,23,12.148358103673297,12.352031814895156,0.9835109142953914,0.016489085704608608
piloto_sin_outliers_h24,LN,ATACAMA,24,12.349287073425455,12.352031814895156,0.9997777902849642,0.00022220971503583709
piloto_sin_outliers_h24,LN,CHARRUA,1,14.347908424456513,19.136158110388045,0.7497799893630563,0.25022001063694366
piloto_sin_outliers_h24,LN,CHARRUA,2,16.07368111846475,19.136158110388045,0.839963854068449,0.16003614593155102
piloto_sin_outliers_h24,LN,CHARRUA,3,17.339817905458208,19.136158110388045,0.9061284822916102,0.09387151770838975
piloto_sin_outliers_h24,LN,CHARRUA,4,18.28381655621569,19.136158110388045,0.9554591078702646,0.04454089212973544
piloto_sin_outliers_h24,LN,CHARRUA,5,18.918879223095132,19.136158110388045,0.9886456369120945,0.011354363087905495
piloto_sin_outliers_h24,LN,CHARRUA,6,19.300045947840083,19.136158110388045,1.0085643020143669,-0.008564302014366865
piloto_sin_outliers_h24,LN,CHARRUA,7,19.584160737823538,19.136158110388045,1.0234113151057367,-0.023411315105736685
piloto_sin_outliers_h24,LN,CHARRUA,8,19.87839649833924,19.136158110388045,1.038787220698614,-0.038787220698613956
piloto_sin_outliers_h24,LN,CHARRUA,9,20.120475643798798,19.136158110388045,1.0514375731916856,-0.051437573191685626
piloto_sin_outliers_h24,LN,CHARRUA,10,20.307005336556443,19.136158110388045,1.061185072751505,-0.06118507275150509
piloto_sin_outliers_h24,LN,CHARRUA,11,20.468440135405075,19.136158110388045,1.0696211860986768,-0.06962118609867685
piloto_sin_outliers_h24,LN,CHARRUA,12,20.58901686584958,19.136158110388045,1.0759221755527224,-0.0759221755527224
piloto_sin_outliers_h24,LN,CHARRUA,13,20.70702859251032,19.136158110388045,1.0820891253646951,-0.08208912536469515
piloto_sin_outliers_h24,LN,CHARRUA,14,20.773751982300215,19.136158110388045,1.0855758957710118,-0.08557589577101177
